guid,Word,Reading,Meaning,Level,ReadingType,Pattern,Rules,KanjiDetail
kk_方向_ほうこう,方向,ほうこう,方:◆四角、四角いさま、角(かど)が直角になっているさま、「方形(ホウケイ)」◆数学で二つの数を掛け合わせた数(正方形・長方形の一つの角を成す二辺を掛け合わせた数); 向:◆窓、北側に面した窓、同「郷」、「丿冂」は「宀」で「屋根のある建物」、「口」は「壁などに空いた窓」の意◆目的とするところを目指して行く、基点となるところから遠ざ,N4,on,on+on,,方:◆四角、四角いさま、角(かど)が直角になっているさま、「方形(ホウケイ)」◆数学で二つの数を掛け合わせた数(正方形・長方形の一つの角を成す二辺を掛け合わせた数); 向:◆窓、北側に面した窓、同「郷」、「丿冂」は「宀」で「屋根のある建物」、「口」は「壁などに空いた窓」の意◆目的とするところを目指して行く、基点となるところから遠ざ
kk_方法_ほうほう,方法,ほうほう,方:◆四角、四角いさま、角(かど)が直角になっているさま、「方形(ホウケイ)」◆数学で二つの数を掛け合わせた数(正方形・長方形の一つの角を成す二辺を掛け合わせた数); 法:◆規律を維持するための決まり、守り従うべき制度や規則、私的なものではなく公(おおやけ)のものを指す◆標準的な或いは慣例となっているやり方、またそれらに従う◆基準,N4,on,on+on,,方:◆四角、四角いさま、角(かど)が直角になっているさま、「方形(ホウケイ)」◆数学で二つの数を掛け合わせた数(正方形・長方形の一つの角を成す二辺を掛け合わせた数); 法:◆規律を維持するための決まり、守り従うべき制度や規則、私的なものではなく公(おおやけ)のものを指す◆標準的な或いは慣例となっているやり方、またそれらに従う◆基準
kk_旅館_りょかん,旅館,りょかん,旅:◆兵士数を基にした軍隊の規模の単位、周朝(シュウ、西周、前11世紀～前771年)では500人を単位とした、「【周禮:卷第三:地官司徒】乃會萬民之卒伍而用之五人爲; 館:◆公用に使う大きな建物、公衆が利用する大きな建物◆公用の人や賓客を泊めるための建物、宿◆貴人の邸宅,N4,on,on+on,A3_short_compound(on+on 71%),旅:◆兵士数を基にした軍隊の規模の単位、周朝(シュウ、西周、前11世紀～前771年)では500人を単位とした、「【周禮:卷第三:地官司徒】乃會萬民之卒伍而用之五人爲; 館:◆公用に使う大きな建物、公衆が利用する大きな建物◆公用の人や賓客を泊めるための建物、宿◆貴人の邸宅
kk_日_ひ,日,ひ,日:◆太陽◆太陽が出ている間、昼間、夜明けから日没まで◆一昼夜、朝から次の朝まで、またその繰り返し、またその繰り返しを数える語◆候(コウ)、時節、頃(ケイ、ころ)◆,N4,kun,kun,IL2_single_default(kun 84%),日:◆太陽◆太陽が出ている間、昼間、夜明けから日没まで◆一昼夜、朝から次の朝まで、またその繰り返し、またその繰り返しを数える語◆候(コウ)、時節、頃(ケイ、ころ)◆
kk_日曜_にちよう,日曜,にちよう,日:◆太陽◆太陽が出ている間、昼間、夜明けから日没まで◆一昼夜、朝から次の朝まで、またその繰り返し、またその繰り返しを数える語◆候(コウ)、時節、頃(ケイ、ころ)◆; 曜:◆陽の光が明るく輝(かがや)く、眩(まばゆ)く輝く◆太陽・月と水金火木土星の七つの明るく光る天体、総称して「七曜(シチヨウ)」といい、これを一週間の各日に当てた,N4,on,on+on,,日:◆太陽◆太陽が出ている間、昼間、夜明けから日没まで◆一昼夜、朝から次の朝まで、またその繰り返し、またその繰り返しを数える語◆候(コウ)、時節、頃(ケイ、ころ)◆; 曜:◆陽の光が明るく輝(かがや)く、眩(まばゆ)く輝く◆太陽・月と水金火木土星の七つの明るく光る天体、総称して「七曜(シチヨウ)」といい、これを一週間の各日に当てた
kk_日記_にっき,日記,にっき,日:◆太陽◆太陽が出ている間、昼間、夜明けから日没まで◆一昼夜、朝から次の朝まで、またその繰り返し、またその繰り返しを数える語◆候(コウ)、時節、頃(ケイ、ころ)◆; 記:◆(忘れないように)覚えておく、「記憶(キオク)」◆(忘れないように)書き留(と)める、書き付ける、また書き留めたもの、「記録(キロク)」「記事(キジ、書き記さ,N4,other,mixed+mixed~,A3_short_compound(on+on 71%) | B_verb_rad_言(kun 80%),日:◆太陽◆太陽が出ている間、昼間、夜明けから日没まで◆一昼夜、朝から次の朝まで、またその繰り返し、またその繰り返しを数える語◆候(コウ)、時節、頃(ケイ、ころ)◆; 記:◆(忘れないように)覚えておく、「記憶(キオク)」◆(忘れないように)書き留(と)める、書き付ける、また書き留めたもの、「記録(キロク)」「記事(キジ、書き記さ
kk_旨/巧/美味/甘/上手い_うまい,旨/巧/美味/甘/上手い,うまい,旨:◆うま・い、美味(おい)しい、甘(あま)く美味しい◆意図(イト)していること、意向(イコウ)、本意(ホンイ)◆天子や上位者の指示や命令、またその考えや意向; 巧:◆技(わざ)、技術が秀(ひい)でているさま、器用なさま◆上手(じょうず)な、上手(うま)い◆技術、技量; 美:◆綺麗な、姿形が良い◆善(よ)い、良い、優(すぐ)れている◆美味しい、味が良い、甘い◆褒(ほ)める、称賛する,N4,other,mixed+mixed+mixed+mixed+mixed+mixed+mixed~,IL1_okurigana(kun 96%) | A1_compound_oku(kun 90%) | A1_on_kun_mix(on+kun 65%),旨:◆うま・い、美味(おい)しい、甘(あま)く美味しい◆意図(イト)していること、意向(イコウ)、本意(ホンイ)◆天子や上位者の指示や命令、またその考えや意向; 巧:◆技(わざ)、技術が秀(ひい)でているさま、器用なさま◆上手(じょうず)な、上手(うま)い◆技術、技量; 美:◆綺麗な、姿形が良い◆善(よ)い、良い、優(すぐ)れている◆美味しい、味が良い、甘い◆褒(ほ)める、称賛する
kk_早く_はやく,早く,はやく,早:◆いよいよ陽が昇り始めようとしていてまだ薄暗い頃、朝が明(あ)けようとする頃◆その時(時間、時期、頃合い)に至っていない◆本来の時よりも前に(先に)、前以って、,N4,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),早:◆いよいよ陽が昇り始めようとしていてまだ薄暗い頃、朝が明(あ)けようとする頃◆その時(時間、時期、頃合い)に至っていない◆本来の時よりも前に(先に)、前以って、
kk_早退_そうたい,早退,そうたい,早:◆いよいよ陽が昇り始めようとしていてまだ薄暗い頃、朝が明(あ)けようとする頃◆その時(時間、時期、頃合い)に至っていない◆本来の時よりも前に(先に)、前以って、; 退:◆後ろに向かう、後ろへ下がる、後ろ向きに進む、逆は「進」◆今いる場所から遠ざかる方に向かう、その場を立ち去る◆体を後へ引く、身を引く◆状態が悪くなる(衰える、弱,N4,on,on+on,,早:◆いよいよ陽が昇り始めようとしていてまだ薄暗い頃、朝が明(あ)けようとする頃◆その時(時間、時期、頃合い)に至っていない◆本来の時よりも前に(先に)、前以って、; 退:◆後ろに向かう、後ろへ下がる、後ろ向きに進む、逆は「進」◆今いる場所から遠ざかる方に向かう、その場を立ち去る◆体を後へ引く、身を引く◆状態が悪くなる(衰える、弱
kk_昔_むかし,昔,むかし,昔:◆過ぎ去った日、現在よりも前、以前◆久しく時(月日)を経(へ)ているさま◆夜、同「夕」◆干し肉、或いは肉を薄く切った後に残る肉(切り落とし肉)を干したもの、同「,N4,kun,kun,IL2_single_default(kun 84%),昔:◆過ぎ去った日、現在よりも前、以前◆久しく時(月日)を経(へ)ているさま◆夜、同「夕」◆干し肉、或いは肉を薄く切った後に残る肉(切り落とし肉)を干したもの、同「
